t,hp,cs,attacker,last_hit_ts,enemies_near,nearest_enemy_d,enemy_cs
67.49,200,0,,0,7,148,1;0;0;1
67.6,200,0,,0,7,148,1;0;0;1
67.71,200,0,,0,7,148,1;0;0;1
67.82,200,0,,0,7,148,1;0;0;1
67.93,200,0,,0,7,148,1;0;0;1
68.03,200,0,,0,7,134,1;0;0;1
68.18,200,0,,0,7,134,1;0;0;1
68.3,200,0,,0,7,134,1;0;0;1
68.4,200,0,,0,7,134,1;0;0;1
68.51,200,0,,0,7,134,1;0;0;1
68.62,200,0,,0,7,134,1;0;0;1
68.73,200,0,,0,7,134,1;0;0;1
68.84,200,0,,0,7,134,1;0;0;1
68.95,200,0,,0,7,134,1;0;0;1
69.06,200,0,,0,7,136,1;0;0;1
69.2,200,0,,0,7,136,1;0;0;1
69.3,200,0,,0,7,136,1;0;0;1
69.4,200,0,,0,7,136,1;0;0;1
69.51,200,0,,0,7,136,1;0;0;1
69.62,200,0,,0,7,136,1;0;0;1
69.74,200,0,,0,7,136,1;0;0;1
69.85,200,0,,0,7,136,1;0;0;1
69.96,200,0,,0,7,136,1;0;0;1
70.07,200,0,,0,7,136,1;0;0;1
70.22,200,0,,0,7,136,1;0;0;1
70.32,200,0,,0,7,136,1;0;0;1
70.43,200,0,,0,7,136,1;0;0;1
70.54,200,0,,0,7,136,1;0;0;1
70.64,200,0,,0,7,136,1;0;0;1
70.75,200,0,,0,7,136,1;0;0;1
70.85,200,0,,0,7,136,1;0;0;1
70.97,200,0,,0,7,136,1;0;0;1
71.08,200,0,,0,6,128,0;0;1;1
71.22,200,0,,0,6,128,0;0;1;1
71.32,200,0,,0,6,128,0;0;1;1
71.43,200,0,,0,6,128,0;0;1;1
71.71,200,0,,0,6,128,0;0;1;1
71.82,200,0,,0,6,128,0;0;1;1
71.93,200,0,,0,6,128,0;0;1;1
72.04,200,0,,0,6,128,0;0;1;1
72.15,200,0,,0,6,144,0;0;1;1
72.29,200,0,,0,6,144,0;0;1;1
72.4,200,0,,0,6,144,0;0;1;1
72.51,200,0,,0,6,144,0;0;1;1
72.62,200,0,,0,6,144,0;0;1;1
72.73,200,0,,0,6,144,0;0;1;1
72.83,200,0,,0,6,144,0;0;1;1
72.94,200,0,,0,6,144,0;0;1;1
73.04,200,0,,0,6,144,0;0;1;1
73.15,200,0,,0,6,132,0;0;1;1
73.29,200,0,,0,6,132,0;0;1;1
73.39,200,0,,0,6,132,0;0;1;1
73.51,200,0,,0,6,132,0;0;1;1
73.61,200,0,,0,6,132,0;0;1;1
73.72,200,0,,0,6,132,0;0;1;1
73.83,200,0,,0,6,132,0;0;1;1
73.93,200,0,,0,6,132,0;0;1;1
74.04,200,0,,0,6,132,0;0;1;1
74.15,200,0,,0,6,132,0;0;1;1
74.27,200,0,,0,6,161,0;0;1;1
74.4,200,0,,0,6,161,0;0;1;1
74.51,200,0,,0,6,161,0;0;1;1
74.62,200,0,,0,6,161,0;0;1;1
74.73,200,0,,0,6,161,0;0;1;1
74.85,200,0,,0,6,161,0;0;1;1
74.96,200,0,,0,6,161,0;0;1;1
